STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,MEASURE_PRINCIPLE,Principe de mesure,ACCOUNTING_ENTRY,Ecriture comptable,TYPE_ENTITY,Type d'entité,FDI_COMP,Composant de l'IDE,SECTOR,Secteur institutionnel,COUNTERPART_AREA,Zone de contrepartie,LEVEL_COUNTERPART,Niveau de contrepartie,ACTIVITY,Activité économique,FREQ,Fréquence de l'observation,FDI_COLLECTION_ID,Identifiant de collecte des IDE,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur de l'observation,OBS_STATUS,Statut de l'observation,UNIT_MULT,Multiplicateur d'unité,CONF_STATUS,Statut de confidentialité,CURRENCY,Monnaie,DECIMALS,Décimales
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,CHE,Suisse,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2018,,5379.875243,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,CHE,Suisse,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2019,,4961.139062,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,CHE,Suisse,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2020,,3876.496273,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,IRL,Irlande,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2022,,-2411.305582,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,RSP,EVS résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2016,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,RSP,EVS résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2017,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,RSP,EVS résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,RSP,EVS résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2019,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,RSP,EVS résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2020,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,RSP,EVS résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2021,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,RSP,EVS résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2022,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2017,,18637.13223,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2018,,23533.57725,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2019,,15097.95142,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2020,,9495.156695,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2021,,-877.4834437,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2022,,-3404.683065,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,IRL,Irlande,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2016,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,IRL,Irlande,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2017,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,IRL,Irlande,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,USA,États-Unis,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2021,,2136,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,USA,États-Unis,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2022,,2959,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2016,,15129.93476,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2016,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2017,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,NLD,Pays-Bas,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,IRL,Irlande,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2020,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,IRL,Irlande,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2021,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,IRL,Irlande,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DO,Principe directionnel-sortant,NET_FDI,IDE net,ROU,Entités opérantes résidentes (non EVS),D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2022,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_INC_IND(1.0),"Revenus d'IDE par activité économique, BMD4",I,CHE,Suisse,T_D4Q_FL,Revenus d'IDI - revenus de prêts (intérêts),USD_EXC,"Dollars des É-U, taux de change converti",DI,Principe directionnel-entrant,NET_FDI,IDE net,ALL,Toutes les entités résidentes,D,Investissement direct total,S1,Economie totale,W,Monde,IMC,Contrepartie immédiate,_T,Total - ensemble des activités,A,Annuelle,CTRY_IND,IDE annuels par zone de contrepartie et par activité économique - BMD4,2016,,1242.229215,,A,Normal value,6,Millions,F,Free (free for publication),USD,Dollars des États-Unis,2,Two
